num,name,tier,prev_win,prev_draw,prev_lose,curr_win,curr_draw,curr_lose,curr_points,curr_mmr
1,mancity,1,29,6,3,28,5,5,89,NULL
2,arsenal,2,22,3,13,26,6,6,84,NULL
3,manu,2,16,10,12,23,6,9,75,NULL
4,newcastle,3,13,10,15,19,14,5,71,NULL
5,liverpool,1,28,8,2,19,10,9,67,NULL
6,brighton,3,12,15,11,18,8,12,62,NULL
7,villa,4,13,6,19,18,7,13,61,NULL
8,spurs,1,22,5,11,18,6,14,60,NULL
9,brentford,4,13,7,18,15,14,9,59,NULL
10,fullham,5,0,0,0,15,7,16,52,NULL
11,palace,3,11,15,12,11,12,15,45,NULL
12,Chelsea,1,21,11,6,11,11,16,44,NULL
13,wolves,3,15,6,17,11,8,19,41,NULL
14,westham,2,16,8,14,11,7,20,40,NULL
15,bournemouth,5,0,0,0,11,6,21,39,NULL
16,nottingham,5,0,0,0,9,11,18,38,NULL
17,everton,4,11,6,21,8,12,18,36,NULL
18,leicester,2,14,10,14,9,7,22,34,NULL
19,leeds,5,9,11,18,7,10,21,31,NULL
20,Southampton,4,9,13,16,6,7,25,25,NULL
